Generation,AverageFitness,BestFitness,WorstFitness
403,105431.81,106970.00,99510.00
404,105429.62,106970.00,100910.00
405,105457.20,106970.00,100470.00
406,105464.70,106970.00,98470.00
407,105427.82,106970.00,98990.00
408,105394.68,106970.00,100770.00
409,105428.59,106970.00,100970.00
410,105486.84,106970.00,101190.00
411,105436.70,106970.00,100990.00
412,105370.98,106970.00,100010.00
413,105419.05,106970.00,101050.00
414,105391.02,106970.00,99730.00
415,105369.88,106970.00,100230.00
416,105443.29,106970.00,101170.00
417,105390.83,106970.00,99110.00
418,105442.05,106970.00,98930.00
419,105401.02,106970.00,99470.00
420,105448.89,106970.00,101370.00
421,105418.45,106970.00,99370.00
422,105396.20,106970.00,99810.00
423,105435.87,106970.00,100610.00
424,105492.93,106970.00,100990.00
425,105399.18,106970.00,99770.00
426,105398.53,106970.00,101190.00
427,105454.32,106970.00,100710.00
428,105478.62,106970.00,101030.00
429,105461.58,106970.00,100550.00
430,105436.80,106970.00,100350.00
431,105451.70,106970.00,101090.00
432,105444.62,106970.00,99370.00
433,105427.29,106970.00,99650.00
434,105417.68,106970.00,99730.00
435,105497.51,106970.00,100730.00
436,105419.53,106970.00,100930.00
437,105551.48,106970.00,99670.00
438,105577.38,106970.00,100690.00
439,105618.91,106970.00,99650.00
440,105508.44,106970.00,101290.00
441,105567.36,106970.00,101110.00
442,105558.38,106970.00,101470.00
443,105564.25,106970.00,100670.00
444,105641.41,106970.00,102170.00
445,105577.12,106970.00,100710.00
446,105603.16,106970.00,101050.00
447,105620.25,106970.00,100390.00
448,105607.59,106970.00,99530.00
449,105565.15,106970.00,100930.00
450,105537.57,106970.00,99110.00
451,105593.43,106970.00,100470.00
452,105580.27,106970.00,101350.00
453,105576.97,106970.00,101290.00
454,105668.02,106970.00,100810.00
455,105615.15,106970.00,101470.00
456,105596.91,106970.00,101230.00
457,105596.58,106970.00,99230.00
458,105602.59,106970.00,101490.00
459,105574.16,106970.00,101410.00
460,105578.48,106970.00,101110.00
461,105597.26,106970.00,101250.00
462,105564.95,106970.00,99650.00
463,105605.89,106970.00,99850.00
464,105572.43,106970.00,100170.00
465,105554.84,106970.00,101350.00
466,105540.83,106970.00,101190.00
467,105499.89,106970.00,100650.00
468,105492.75,106970.00,99730.00
469,105546.77,106970.00,100530.00
470,105433.70,106970.00,100350.00
471,105523.00,106970.00,99810.00
472,105566.02,106970.00,101350.00
473,105519.32,106970.00,100470.00
474,105528.30,106970.00,100970.00
475,105552.26,106970.00,100670.00
476,105568.32,106970.00,101590.00
477,105549.38,106970.00,100730.00
478,105561.19,106970.00,100850.00
479,105527.51,106970.00,100350.00
480,105520.91,106970.00,100530.00
481,105593.82,106970.00,100910.00
482,105552.88,106970.00,100890.00
483,105526.91,106970.00,100410.00
484,105541.03,106970.00,101090.00
485,105575.85,106970.00,97690.00
486,105571.30,106970.00,101170.00
487,105597.38,106970.00,101290.00
488,105558.88,106970.00,100650.00
489,105619.93,106970.00,100470.00
490,105581.63,106970.00,100870.00
491,105519.75,106970.00,96930.00
492,105571.29,106970.00,101090.00
493,105548.37,106970.00,98870.00
494,105567.12,106970.00,99410.00
495,105520.48,106970.00,100410.00
496,105524.05,106970.00,100790.00
497,105585.88,106970.00,100110.00
498,105608.48,106970.00,100170.00
499,105583.77,106970.00,100530.00
500,105568.97,106970.00,100910.00
501,105590.90,106970.00,101050.00
502,105597.62,106970.00,101290.00
503,105642.61,106970.00,99290.00
504,105595.31,106970.00,99710.00
505,105592.02,106970.00,101530.00
506,105515.48,106970.00,99430.00
507,105598.85,106970.00,100970.00
508,105499.68,106970.00,99650.00
509,105538.38,106970.00,99530.00
510,105555.16,106970.00,99990.00
511,105556.77,106970.00,100490.00
512,105562.90,106970.00,97990.00
513,105524.34,106970.00,101050.00
514,105510.80,106970.00,101050.00
515,105555.48,106970.00,100030.00
516,105618.88,106970.00,101290.00
517,105556.58,106970.00,100170.00
518,105583.69,106970.00,101290.00
519,105547.58,106970.00,100410.00
520,105478.18,106970.00,99170.00
521,105594.34,106970.00,100350.00
522,105509.66,106970.00,101190.00
523,105568.10,106970.00,100470.00
524,105558.48,106970.00,100770.00
525,105556.95,106970.00,99530.00
526,105605.57,106970.00,99170.00
527,105547.61,106970.00,101050.00
528,105593.42,106970.00,101650.00
529,105573.34,106970.00,101530.00
530,105559.20,106970.00,100170.00
531,105586.75,106970.00,101350.00
532,105562.32,106970.00,100730.00
533,105591.25,106970.00,97610.00
534,105547.23,106970.00,102110.00
535,105576.38,106970.00,100170.00
536,105602.82,106970.00,100070.00
537,105563.22,106970.00,100810.00
538,105546.02,106970.00,100910.00
539,105579.53,106970.00,100890.00
540,105528.64,106970.00,99730.00
541,105588.07,106970.00,100290.00
542,105598.69,106970.00,98750.00
543,105539.74,106970.00,98930.00
544,105542.25,106970.00,101410.00
545,105541.71,106970.00,101370.00
546,105566.41,106970.00,100650.00
547,105547.77,106970.00,101490.00
548,105546.25,106970.00,100590.00
549,105489.88,106970.00,101250.00
550,105596.65,106970.00,100970.00
551,105548.82,106970.00,100810.00
552,105585.62,106970.00,101570.00
553,105579.67,106970.00,101170.00
554,105550.70,106970.00,99410.00
555,105592.80,106970.00,100550.00
556,105573.73,106970.00,100310.00
557,105545.08,106970.00,101050.00
558,105557.95,106970.00,101110.00
559,105555.62,106970.00,100530.00
560,105530.71,106970.00,100790.00
561,105535.25,106970.00,101410.00
562,105539.44,106970.00,100470.00
563,105542.13,106970.00,99290.00
564,105509.73,106970.00,100350.00
565,105596.59,106970.00,101230.00
566,105604.32,106970.00,101150.00
567,105544.09,106970.00,101110.00
568,105572.25,106970.00,100230.00
569,105629.66,106970.00,101170.00
570,105588.34,106970.00,101590.00
571,105606.45,106970.00,101170.00
572,105645.74,106970.00,100650.00
573,105611.57,106970.00,100790.00
574,105575.20,106970.00,100810.00
575,105584.90,106970.00,101730.00
576,105641.28,106970.00,101170.00
577,105549.27,106970.00,100450.00
578,105575.39,106970.00,101030.00
579,105614.43,106970.00,101290.00
580,105575.60,106970.00,100410.00
581,105551.20,106970.00,98910.00
582,105541.07,106970.00,100410.00
583,105516.12,106970.00,101470.00
584,105476.75,106970.00,98410.00
585,105526.60,106970.00,96930.00
586,105595.04,106970.00,99590.00
587,105617.52,106970.00,100070.00
588,105580.98,106970.00,101110.00
589,105575.75,106970.00,101650.00
590,105597.57,106970.00,101190.00
591,105579.96,106970.00,100290.00
592,105581.78,106970.00,100670.00
593,105622.53,106970.00,100050.00
594,105577.09,106970.00,101490.00
595,105625.47,106970.00,101030.00
596,105591.93,106970.00,101170.00
597,105537.62,106970.00,101530.00
598,105516.31,106970.00,100750.00
599,105549.20,106970.00,100490.00
600,105467.24,106970.00,99230.00
601,105535.01,106970.00,100290.00
602,105556.48,106970.00,100790.00
603,105621.20,106970.00,98490.00
604,105566.22,106970.00,101270.00
605,105545.37,106970.00,100850.00
606,105548.70,106970.00,99990.00
607,105675.13,106970.00,100470.00
608,105613.45,106970.00,101410.00
609,105611.47,106970.00,101550.00
610,105532.08,106970.00,101290.00
611,105543.00,106970.00,100410.00
612,105605.66,106970.00,99910.00
613,105591.39,106970.00,99250.00
614,105585.53,106970.00,99810.00
615,105585.34,106970.00,101290.00
616,105568.52,106970.00,99290.00
617,105611.38,106970.00,101110.00
618,105579.12,106970.00,101290.00
619,105550.48,106970.00,98870.00
620,105523.67,106970.00,99290.00
621,105519.16,106970.00,100870.00
622,105529.15,106970.00,100610.00
623,105609.48,106970.00,100910.00
624,105577.24,106970.00,101770.00
625,105589.55,106970.00,100850.00
626,105608.21,106970.00,99230.00
627,105607.84,106970.00,101230.00
628,105569.90,106970.00,101170.00
629,105588.02,106970.00,101170.00
630,105541.96,106970.00,101710.00
631,105550.36,106970.00,100550.00
632,105581.48,106970.00,100410.00
633,105568.04,106970.00,100630.00
634,105547.16,106970.00,100710.00
635,105616.85,106970.00,101410.00
636,105567.02,106970.00,101470.00
637,105553.80,106970.00,100550.00
638,105564.62,106970.00,100730.00
639,105551.70,106970.00,100490.00
640,105539.45,106970.00,100290.00
641,105542.62,106970.00,99470.00
642,105566.05,106970.00,100350.00
643,105569.16,106970.00,100990.00
644,105548.83,106970.00,100230.00
645,105486.50,106970.00,100970.00
646,105431.43,106970.00,101410.00
647,105587.05,106970.00,101770.00
648,105591.94,106970.00,100370.00
649,105613.59,106970.00,101350.00
650,105590.07,106970.00,101050.00
651,105576.98,106970.00,101610.00
652,105527.84,106970.00,100230.00
653,105629.56,106970.00,101110.00
654,105509.57,106970.00,100490.00
655,105547.07,106970.00,101670.00
656,105514.00,106970.00,100890.00
657,105500.73,106970.00,100130.00
658,105576.66,106970.00,99490.00
659,105560.66,106970.00,100870.00
660,105553.28,106970.00,100990.00
661,105557.77,106970.00,99410.00
662,105583.59,106970.00,100110.00
663,105580.55,106970.00,101170.00
664,105622.92,106970.00,100470.00
665,105604.58,106970.00,101270.00
666,105496.79,106970.00,100930.00
667,105600.14,106970.00,100190.00
668,105611.80,106970.00,101230.00
669,105567.98,106970.00,98730.00
670,105585.30,106970.00,100030.00
671,105580.50,106970.00,101210.00
672,105554.88,106970.00,101550.00
673,105539.34,106970.00,101090.00
674,105533.55,106970.00,100370.00
675,105614.83,106970.00,100790.00
676,105563.38,106970.00,101430.00
677,105572.23,106970.00,101170.00
678,105656.32,106970.00,101850.00
679,105581.36,106970.00,101590.00
680,105573.20,106970.00,99990.00
681,105559.27,106970.00,100350.00
682,105539.66,106970.00,100610.00
683,105588.48,106970.00,101670.00
684,105605.57,106970.00,101110.00
685,105596.30,106970.00,101590.00
686,105526.20,106970.00,100290.00
687,105556.25,106970.00,99410.00
688,105498.79,106970.00,99410.00
689,105541.91,106970.00,100970.00
690,105503.57,106970.00,101530.00
691,105518.07,106970.00,99410.00
692,105606.73,106970.00,101350.00
693,105615.84,106970.00,100970.00
694,105581.50,106970.00,100610.00
695,105663.62,106970.00,100590.00
696,105540.92,106970.00,100050.00
697,105580.37,106970.00,100690.00
698,105557.38,106970.00,100650.00
699,105577.38,106970.00,100470.00
700,105561.77,106970.00,101170.00
701,105519.05,106970.00,100350.00
702,105539.36,106970.00,101230.00
703,105588.90,106970.00,101230.00
704,105571.66,106970.00,100870.00
705,105528.27,106970.00,100970.00
706,105547.20,106970.00,101750.00
707,105526.68,106970.00,101350.00
708,105581.34,106970.00,101110.00
709,105587.32,106970.00,101010.00
710,105531.56,106970.00,101230.00
711,105572.07,106970.00,101230.00
712,105606.95,106970.00,101410.00
713,105546.88,106970.00,101290.00
714,105567.88,106970.00,101490.00
715,105553.25,106970.00,101410.00
716,105525.28,106970.00,100290.00
717,105518.46,106970.00,100990.00
718,105565.16,106970.00,99350.00
719,105609.70,106970.00,100530.00
720,105521.21,106970.00,101230.00
721,105560.20,106970.00,101530.00
722,105606.29,106970.00,100690.00
723,105596.00,106970.00,98530.00
724,105537.50,106970.00,100170.00
725,105555.41,106970.00,100050.00
726,105532.92,106970.00,98170.00
727,105572.46,106970.00,100250.00
728,105530.30,106970.00,100590.00
729,105596.09,106970.00,101350.00
730,105565.45,106970.00,100410.00
731,105559.58,106970.00,101230.00
732,105511.45,106970.00,99590.00
733,105549.12,106970.00,100830.00
734,105606.74,106970.00,100990.00
735,105591.83,106970.00,101350.00
736,105582.34,106970.00,100350.00
737,105574.82,106970.00,100850.00
738,105599.25,106970.00,101010.00
739,105622.82,106970.00,101590.00
740,105653.14,106970.00,100410.00
741,105570.94,106970.00,101110.00
742,105577.64,106970.00,100530.00
743,105560.62,106970.00,101090.00
744,105554.91,106970.00,100050.00
745,105610.34,106970.00,100830.00
